task_id,persona,primary_dimension,secondary_dimension,sort_mode,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t1,Evening walker,spatial,economic,rating,lp30277,Hilton Colombo Residence,33,33,0,0.0,0.0,23,-2.7726,0.688,0.469,0.9062,0.188,0.55,43133,4.4,5,0.9
t1,Evening walker,spatial,economic,rating,lp67708,Supun Arcade Residency,33,33,0,0.0,0.0,22,-3.3673,0.094,0.156,0.4906,0.719,0.725,20768,3.8,4,5.7
t1,Evening walker,spatial,economic,rating,lp7c172,Mirage Colombo,33,33,0,0.0,0.0,21,-3.4012,0.031,0.062,0.6328,0.75,0.8,20482,3.8,4,6.3
t1,Evening walker,spatial,economic,rating,lp33ddb,"Taj Samudra, Colombo",33,33,0,0.0,0.0,20,-2.0794,0.875,0.812,0.9016,0.156,0.55,43993,4.5,5,1.7
t1,Evening walker,spatial,economic,rating,lpa0a8a,NH Collection Colombo,33,33,0,0.0,0.0,19,-1.3863,0.562,0.531,0.9594,0.344,0.325,36981,4.6,5,2.0
t1,Evening walker,spatial,economic,rating,lp1bc0d,Hilton Colombo Hotel,33,33,0,0.0,0.0,18,-2.9957,0.906,0.562,0.8547,0.125,0.475,47767,4.2,5,1.9
t1,Evening walker,spatial,economic,rating,lp71118,CityRest Fort,33,33,0,0.0,0.0,17,-3.434,0.812,0.844,0.1922,0.969,0.45,11502,3.5,3,2.0
t1,Evening walker,spatial,economic,rating,lp43673,Pegasus Reef - A Beach Resort in Colombo,33,33,0,0.0,0.0,31,-3.2958,0.0,0.0,0.5859,0.781,0.95,20121,4.0,4,8.1
t1,Evening walker,spatial,economic,rating,lpc0df6,Fern Colombo,33,33,0,0.0,0.0,16,-3.2189,0.344,0.188,0.1422,0.844,0.75,16245,4.0,3,1.8
t1,Evening walker,spatial,economic,rating,lp6574b103,"Amari Colombo, Sri Lanka",33,33,0,0.0,0.0,15,-2.3979,0.594,0.719,0.8687,0.219,0.4,42203,4.5,5,2.2
t1,Evening walker,spatial,economic,rating,lp81760,The Steuart by Citrus,33,33,0,0.0,0.0,14,-3.0445,0.844,0.938,0.4266,0.625,0.5,22604,4.2,4,2.2
t1,Evening walker,spatial,economic,rating,lp67286,Colombo Court Hotel & Spa,33,33,0,0.0,0.0,13,-2.6391,0.281,0.375,0.5938,0.094,0.725,52144,4.5,4,3.3
t1,Evening walker,spatial,economic,rating,lpc08f9,Morven Hotel Colombo,33,33,0,0.0,0.0,12,-2.3026,0.656,0.75,0.6703,0.688,0.2,21054,4.5,4,2.1
t1,Evening walker,spatial,economic,rating,lp857b8,Zylan Colombo,33,33,0,0.0,0.0,11,-2.7081,0.219,0.125,0.6047,0.438,0.8,34557,4.5,4,2.0
t1,Evening walker,spatial,economic,rating,lp72a36,Best Western Elyon Colombo,33,33,0,0.0,0.0,10,-3.1781,0.062,0.031,0.5687,0.812,0.875,19568,4.2,4,5.1
