task_id,persona,primary_dimension,secondary_dimension,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t2,Business traveller,accessibility,facility,lp857b8,Zylan Colombo,237,236,63,0.266949,26.69,1,-0.7443,0.938,0.969,0.6047,0.438,0.8,34557,4.5,4,2.0
t2,Business traveller,accessibility,facility,lp72a36,Best Western Elyon Colombo,237,237,46,0.194093,19.41,3,-1.1366,0.969,0.75,0.5687,0.812,0.875,19568,4.2,4,5.1
t2,Business traveller,accessibility,facility,lp800a1,Nyne Hotels Lake Lodge - Colombo,237,236,0,0.0,0.0,16,-2.2948,0.594,0.625,0.5094,0.25,0.2,39335,4.6,4,1.5
t2,Business traveller,accessibility,facility,lp656d40c7,Sheraton Colombo Hotel,237,236,8,0.033898,3.39,7,-2.4982,0.406,0.656,0.7312,0.062,0.4,56627,4.7,5,2.2
t2,Business traveller,accessibility,facility,lp40d3f,Global Towers Hotel & Apartments,237,237,1,0.004219,0.42,12,-2.6054,0.688,0.281,0.5375,0.875,0.725,16041,3.5,4,5.6
t2,Business traveller,accessibility,facility,lp5f0e5,Paradise Road Tintagel Colombo,237,236,24,0.101695,10.17,4,-1.5466,0.844,0.906,0.8687,0.0,0.85,96633,4.5,5,1.7
t2,Business traveller,accessibility,facility,lp6e625,Hotel Janaki,237,237,2,0.008439,0.84,10,-1.6117,0.906,0.875,0.2188,0.906,0.825,15319,4.0,3,4.2
t2,Business traveller,accessibility,facility,lp76eba,Radisson Hotel Colombo,237,236,0,0.0,0.0,13,-2.6792,0.719,0.375,0.4703,0.562,0.8,27402,4.2,4,5.0
t2,Business traveller,accessibility,facility,lp65589ffb,MaRadha Colombo,237,236,11,0.04661,4.66,5,-2.4057,0.625,0.438,0.325,0.406,0.675,35408,4.8,3,3.6
t2,Business traveller,accessibility,facility,lp6f007,Clock Inn Colombo,237,237,3,0.012658,1.27,9,-2.3702,0.75,0.562,0.0563,0.938,0.625,13715,3.8,2,3.4
t3,Self-funded worker,economic,accessibility,lp102b02,Marino Beach Colombo,233,232,0,0.0,0.0,32,-2.8433,0.344,0.344,0.9047,0.469,0.625,30177,4.6,5,3.2
t3,Self-funded worker,economic,accessibility,lp6557c6e0,Granbell Hotel Colombo,233,232,0,0.0,0.0,20,-2.5049,0.5,0.594,0.5422,0.5,0.35,28807,4.6,4,2.3
t3,Self-funded worker,economic,accessibility,lp741c5,Cinnamon Red Colombo,233,232,0,0.0,0.0,24,-2.7213,0.531,0.469,0.6266,0.375,0.35,36530,4.5,4,1.9
t3,Self-funded worker,economic,accessibility,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,233,232,40,0.172414,17.24,2,-1.3655,0.969,0.781,0.525,0.531,0.5,28429,4.2,4,2.1
t3,Self-funded worker,economic,accessibility,lp655a9e91,Zest Metropole,233,232,29,0.125,12.5,4,-1.69,0.906,0.844,0.5375,0.656,0.5,21223,4.3,4,2.0
t3,Self-funded worker,economic,accessibility,lp656d3aa9,Sofia Colombo City Hotel,233,232,0,0.0,0.0,12,-2.7996,0.438,0.562,0.5922,0.594,0.35,23620,4.3,4,2.4
t3,Self-funded worker,economic,accessibility,lp803e1,Galle Face Hotel,233,232,0,0.0,0.0,31,-2.3733,0.719,0.812,0.8141,0.281,0.4,38531,4.5,5,1.8
t3,Self-funded worker,economic,accessibility,lpb1537,Shangri-La Colombo,233,232,20,0.086207,8.62,5,-1.905,0.781,0.906,0.9281,0.031,0.4,68781,4.7,5,1.9
t3,Self-funded worker,economic,accessibility,lp3e58e,The Kingsbury Colombo,233,232,18,0.077586,7.76,6,-1.8378,0.844,0.938,0.8766,0.312,0.55,37025,4.2,5,2.2
t3,Self-funded worker,economic,accessibility,lp30277,Hilton Colombo Residence,233,232,0,0.0,0.0,30,-2.6122,0.688,0.5,0.9062,0.188,0.55,43133,4.4,5,0.9
t3,Self-funded worker,economic,accessibility,lp67708,Supun Arcade Residency,233,232,0,0.0,0.0,29,-3.1098,0.062,0.125,0.4906,0.719,0.725,20768,3.8,4,5.7
t3,Self-funded worker,economic,accessibility,lp7c172,Mirage Colombo,233,232,0,0.0,0.0,28,-3.1333,0.031,0.062,0.6328,0.75,0.8,20482,3.8,4,6.3
t3,Self-funded worker,economic,accessibility,lp33ddb,"Taj Samudra, Colombo",233,232,0,0.0,0.0,27,-2.3553,0.75,0.719,0.9016,0.156,0.55,43993,4.5,5,1.7
t3,Self-funded worker,economic,accessibility,lpa0a8a,NH Collection Colombo,233,232,0,0.0,0.0,26,-2.6568,0.594,0.531,0.9594,0.344,0.325,36981,4.6,5,2.0
t3,Self-funded worker,economic,accessibility,lp1bc0d,Hilton Colombo Hotel,233,232,0,0.0,0.0,25,-2.3132,0.812,0.75,0.8547,0.125,0.475,47767,4.2,5,1.9
